Country,GDP per capita,average Internet connexion speed,alchool consumption per capita,homocide rate,Military % of GDP,HDI,Democracy index,Equivalent to a 2-year degree or higher (%),Importance of religion,% Christian,Muslim percentage of total population,Buddhist population,Jewish population,"2019 mortality rate, under-5 (per 1000 live births)",Age of crime responsibility,minimum wage,external debt,income equality,total health expenditure,suicide rate,Fertility rate,tabacco consumption,Obesity rate,number of internet users,Median age,economic freedom,Oil production per capita,population growth rate,Life expectancy at birth,meat consumption (Kg per capita),incarceration rate per 10000,literacy rate,Women's age first marriage,Expenditure on education(% of GDP),"Homelessper 10,000",Milk consumption 2013 (kg/capita/yr),Papers per capita in ppm (2018),books published,kilocalories,"Average yearly temperature (1961-1990, Celsius)"
Ivory Coast,2276.0,49.33,8.4,11.805065079160016,2.475188239953785,0.54,4.11,0.88,0.9870694008425505,0.33,42.9,0.0,-3.3817889394897875,79.3,10.0,750.0,24.0,41.5,176.0,15.7,4.59,20.4,10.3,0.43,20.3,62.4,1265.0,2.49,62.9,11.3,82.0,18.0,19.5,5.1,117.0,6.36,9.89,33561.48319084692,2500.0,26.35
Cambodia,1644.0,78.93676022580132,6.7,1.8,1.9446320763842326,0.59,3.1,40.70771060115443,0.96,0.01,2.0,0.98,0.5826943892950709,26.6,14.0,-559.9484811127331,57.0,38.90458092540261,261.0,5.5,2.48,44.4,3.9,0.34,26.4,57.8,-7167.719169351738,1.49,70.1,13.9,220.0,53.1,21.0,1.9,39.82007420949162,3.47,8.99,-8110.381556838285,2180.0,26.8
Cameroon,1534.0,90.68136252092467,8.9,1.4,2.2624986925681876,0.56,2.77,40.90549516458115,0.96,0.71,30.0,0.0,-1.4976710889801197,74.8,12.289312622405184,743.0,24.0,46.6,134.0,15.9,4.51,10.2,11.4,0.22,18.5,52.4,3983.0,2.56,62.4,14.4,124.0,26.1,19.0,3.1,389.0,15.27,34.74,5203.314956188144,2240.0,24.6
Canada,46550.0,167.61,8.9,1.8,1.4,0.93,9.24,59.0,0.42,0.67,3.2,0.01,2.5,4.9,12.0,21477.0,143.0,33.8,5200.0,10.3,1.47,37.9,29.4,0.92,41.8,77.7,100931.0,0.9,82.2,108.1,104.0,90.81528897181357,29.6,5.5,10.0,187.77,1617.5,14625.0,3530.0,-5.35
Central African Republic,468.0,111.54419800558986,3.3,20.1,1.9286143025604074,0.4,1.32,37.300083252783146,0.94,0.8,15.0,-0.012800527992895286,1.2793429600213173,110.1,11.000870734563069,777.0,39.0,56.2,97.0,23.0,4.65,20.562122426659357,7.5,0.04,20.0,49.1,-50305.29037276143,1.58,53.1,28.0,16.0,35.7,17.4,1.2,1421.0,13.53,4.29,12610.897837431869,1960.0,24.9
Chad,707.0,107.76329572197449,1.5,2.6119862851064912,2.066710879340164,0.4,1.55,37.00611610707719,0.95,0.35,58.0,0.0,0.6808909867907076,113.8,11.113717049505226,1229.0,18.0,43.3,79.0,13.2,5.65,15.4,6.1,0.06,16.1,49.9,7393.0,3.01,59.6,14.3,59.0,7.0,16.0,2.9,209.0,20.63,0.97,9635.640734598914,2010.0,26.55
Chile,14896.0,176.48,9.3,4.4,1.5850855237619363,0.85,8.28,27.0,0.7,0.68,0.1,0.0,0.12,7.0,14.0,5753.0,82.0,44.4,2306.0,8.0,1.63,53.4,28.0,0.79,35.5,75.4,247.0,0.78,80.7,66.4,210.0,89.9,32.6,5.4,7.4,116.11,380.26,5641.0,2960.0,8.45
China,10004.0,172.95,7.2,0.5,1.7,0.76,2.27,35.8,0.6497354298695645,-1.0220916348284295,1.73,0.18,0.02,7.9,12.0,1945.0,29.0,38.5,935.0,6.7,1.7,29.2,6.2,0.71,38.4,58.4,2836.0,0.39,77.4,52.4,121.0,73.9,24.9,4.0,18.0,32.66,370.02,208418.0,2990.0,6.95
Colombia,6432.0,53.73,5.8,25.3,2.3157808554843156,0.77,7.04,27.0,0.83,0.92,0.2,0.0,0.01,13.8,14.0,4427.0,57.0,50.4,1155.0,3.7,1.79,16.8,22.3,0.62,31.2,67.3,18452.0,0.81,79.3,33.9,194.0,81.4,22.3,4.5,971.0,108.47,144.88,17066.0,2690.0,24.5
Comoros,1370.0,81.09592546727839,0.9,-4.929584118290283,2.3266148321244717,0.55,3.09,45.80140494068881,0.97,0.02,98.3,0.23729006824492999,-0.9042317480092592,62.9,11.575762897867762,1502.0,21.0,45.3,134.0,8.5,4.14,43.7,7.8,0.08,20.9,55.4,29770.296928351454,2.24,67.4,7.6,27.0,12.8,20.4,2.5,100.60251532049256,11.15,3.6,2071.479454103188,1840.0,25.55
Congo,2304.0,80.98055770894462,7.8,6.756484215030523,2.145583720623595,0.48,1.13,35.47262166537217,0.94,0.92,2.0,0.0,-1.5550574244471562,47.8,14.396451435854349,265.0,13.0,48.9,125.0,11.6,4.37,11.2,6.7,0.09,16.7,50.3,-1799.972737483913,2.59,64.7,4.8,27.0,73.1,21.0,4.6,595.0,10.69,1.77,64.0,2570.0,24.0
Costa Rica,12238.0,47.93,4.8,11.3,1.749070937130357,0.81,8.16,28.0,0.79,0.82,0.1,0.0,0.02,8.6,12.0,6496.0,43.0,48.0,1337.0,7.6,1.74,18.2,25.7,0.7,32.6,65.3,27442.259344256192,0.96,80.8,40.4,374.0,90.4,25.7,7.4,6.6,183.28,101.41,2158.0,2820.0,24.8
Croatia,14627.0,57.3,8.9,0.6,2.4097731085718985,0.85,6.5,35.6542656257122,0.7,0.9,1.5,0.0,0.01,4.8,14.0,6795.0,89.0,30.4,1876.0,11.0,1.47,34.9,24.4,0.68,43.9,61.4,3223.0,-0.58,78.6,49.9,84.0,97.1,28.1,4.6,7.0,231.02,1029.01,5356.780254683457,2990.0,10.9
Cuba,9296.0,108.87084044743199,6.1,5.0,2.6594335020703745,0.78,2.84,34.10098226050081,0.34,0.65,0.1,0.0,0.0,5.1,16.0,1050.0,34.0,36.626749538173456,2519.0,10.2,1.6,47.5,24.6,0.5,42.1,27.8,4357.0,0.06,77.8,32.2,510.0,99.2,21.3,12.9,0.0,99.94,85.46,992.0,3420.0,25.2
Cyprus,28285.0,50.46,10.8,1.3,2.2296379912534245,0.89,7.56,34.25184526952768,0.75,0.79,25.3,0.0,0.0,2.3,14.0,11129.61003731504,849.0,31.4,2625.0,3.2,1.32,42.5,21.8,0.8,37.9,68.1,-23924.05579939473,0.78,83.1,131.3,86.0,93.8,29.0,6.4,62.535088778092586,113.31,1063.99,930.0,3190.0,18.45
Czech Republic,23452.0,85.89,14.4,0.6,2.077259386578252,0.9,7.67,31.0,0.21,0.34,0.15,0.0,0.03,3.2,15.0,7918.0,76.0,24.9,3041.0,9.5,1.71,34.8,26.0,0.78,43.3,73.7,220.0,0.06,79.1,77.3,179.0,92.0857731931464,29.8,5.6,22.0,195.2,1460.48,17330.0,3280.0,7.55
Denmark,60657.0,210.71,10.4,1.0,1.7073563762914272,0.94,9.15,44.0,0.19,0.79,5.4,0.0,0.04,3.8,15.0,16249.677848353342,158.0,28.7,5794.0,7.6,1.7,37.6,19.7,0.94,42.0,76.7,24369.0,0.38,81.3,145.9,68.0,72.01685863321609,32.0,7.6,11.0,277.3,2430.23,13096.0,3410.0,7.5
Dominican Republic,8282.0,60.180458486153384,6.9,10.0,2.4333200235470223,0.76,6.32,33.29429826796999,0.87,0.83,0.1,0.0,0.0,28.0,10.846105304960538,2915.0,36.0,43.7,1018.0,5.1,2.32,18.9,27.8,0.66,27.9,61.0,106313.25716513314,1.07,72.8,37.8,243.0,79.8,21.0,4.3,402.5648961298192,73.75,4.61,1866.0,2270.0,24.55
Ecuador,6184.0,64.44161698523408,4.4,5.8,2.2235524858836158,0.76,6.13,42.7123181461949,0.82,0.94,0.1,0.0,0.0,14.0,12.0,5525.0,57.0,45.4,955.0,7.7,2.4,30.156684191373486,19.9,0.56,28.8,46.9,33470.0,1.42,78.4,45.0,224.0,77.7,21.8,5.0,-172.77069599626134,139.6,125.38,2854.0,2300.0,21.85
Egypt,3161.0,39.66,0.4,2.6,2.447136562889673,0.71,2.93,39.23117066186997,0.97,0.1,92.35,0.0,0.0,20.3,12.0,3956.25916800704,34.0,31.5,614.0,3.4,3.28,21.5,32.0,0.56,24.1,52.5,6860.0,1.87,71.8,22.5,116.0,43.2,25.0,3.8,1200.0,59.46,135.41,12000.0,3160.0,22.1
El Salvador,4187.0,60.69029117236289,3.7,52.0,2.1861804896740393,0.67,5.9,38.477651783430645,0.7299889155109194,0.82,0.28,0.0,0.0,13.3,12.0,3650.0,56.0,38.6,592.0,6.1,2.02,19.1,24.6,0.31,27.7,61.8,-55260.60573627625,0.52,75.0,21.4,572.0,65.7,22.5,3.8,444.2858021412735,124.34,7.01,661.0,2580.0,24.45
Estonia,23740.0,78.58,11.6,2.1,1.5746451026047072,0.89,7.84,41.0,0.16,0.45,0.1,0.0,0.01,2.4,14.0,7626.0,89.0,30.4,2428.0,12.0,1.66,41.1,21.2,0.87,43.7,76.6,6600.2416312631685,-0.23,78.9,67.4,173.0,99.7,29.0,5.2,15.2,284.85,1069.6,3916.0,3140.0,5.1
Ethiopia,828.0,94.48228222355027,2.8,8.8,2.4169113171629855,0.49,3.38,45.16592236366142,0.8578809485663336,0.75,31.3,0.0,0.0,50.7,9.0,-517.5287771925141,32.0,35.0,67.0,9.5,4.15,6.8,4.5,0.18,19.8,53.6,-26816.732594373403,2.43,68.7,7.9,99.0,13.6,17.4,4.7,234.0,44.14,18.26,240.0,1950.0,22.2
Fiji,6185.0,77.32874327532909,3.0,6.186522220295559,2.5616413029988188,0.74,5.72,38.793645888797755,0.8383828143688409,0.64,6.3,0.0,1.5745894211614981,25.7,10.0,3096.0,18.0,36.7,372.0,9.5,2.75,32.7,30.2,0.51,29.9,62.2,67173.5077997318,0.72,68.0,39.1,274.0,51.77265607096156,27.7,3.9,416.2373843245214,40.2,158.46,401.0,3000.0,24.4
