Country,GDP per capita,average Internet connexion speed,alchool consumption per capita,homocide rate,Military % of GDP,HDI,Democracy index,Equivalent to a 2-year degree or higher (%),Importance of religion,% Christian,Muslim percentage of total population,Buddhist population,Jewish population,"2019 mortality rate, under-5 (per 1000 live births)",Age of crime responsibility,minimum wage,external debt,income equality,total health expenditure,suicide rate,Fertility rate,tabacco consumption,Obesity rate,number of internet users,Median age,economic freedom,Oil production per capita,population growth rate,Life expectancy at birth,meat consumption (Kg per capita),incarceration rate per 10000,literacy rate,Women's age first marriage,Expenditure on education(% of GDP),"Homelessper 10,000",Milk consumption 2013 (kg/capita/yr),Papers per capita in ppm (2018),books published,kilocalories,"Average yearly temperature (1961-1990, Celsius)"
Jordan,4405.0,67.35,0.7,1.4,,0.73,3.62,,0.96,0.06,97.2,0.0,,15.6,,5408.0,83.0,33.7,738.0,2.0,2.69,,35.5,0.65,23.5,66.5,,2.17,77.9,29.8,198.0,87.7,23.8,3.6,0.0,77.68,263.61,511.0,3000.0,18.3
Kazakhstan,9793.0,56.12,7.7,5.1,,0.83,3.14,,0.53,0.26,70.2,0.0,0.02,10.5,14.0,887.0,91.0,27.5,784.0,18.1,2.9,33.2,21.0,0.76,31.6,65.4,88686.0,1.13,74.0,44.8,157.0,99.5,24.3,2.8,0.6,288.12,129.21,1226.0,3510.0,6.4
Kenya,1817.0,,3.4,4.9,,0.6,5.05,,0.94,0.85,11.2,0.0,0.0,43.2,8.0,755.0,26.0,40.8,179.0,11.0,3.42,18.7,7.1,0.17,20.0,55.1,,2.49,66.1,14.3,81.0,54.0,20.2,5.2,73.3,94.86,24.26,300.0,2030.0,24.75
South Korea,32143.0,241.58,10.2,0.6,2.8,0.92,8.01,69.0,0.43,0.28,0.1,0.23,0.0,3.2,12.0,18695.0,33.0,31.6,3214.0,21.2,0.86,35.0,4.7,,43.2,72.3,,0.36,83.06,48.0,105.0,,30.4,5.1,2.0,29.05,1297.12,63476.0,3040.0,11.5
Kuwait,31999.0,130.66,0.0,1.8,,0.81,3.8,,0.91,0.15,74.6,0.03,,7.9,7.0,2372.0,51.0,,3669.0,2.7,2.08,26.3,37.9,0.98,29.7,60.8,721575.0,1.78,81.0,60.2,117.0,69.5,27.5,3.8,,157.66,242.67,196.0,3030.0,25.35
Kyrgyzstan,1318.0,48.12,6.2,2.2,,0.7,4.21,,0.72,0.14,85.0,0.0,0.0,18.3,14.0,196.0,112.0,27.7,260.0,8.3,3.3,31.7,16.6,0.37,27.3,62.3,169.0,1.44,74.2,39.0,161.0,92.5,21.8,6.1,,210.92,21.73,1455.0,2660.0,1.55
Laos,2625.0,43.98,10.4,,,0.61,1.77,,0.97,0.02,0.1,0.66,,45.5,15.0,1869.0,53.0,36.4,167.0,6.0,2.63,61.1,5.3,0.25,24.0,57.4,,1.45,68.5,15.0,130.0,58.6,20.5,2.9,,2.92,12.32,88.0,2240.0,22.8
Latvia,17885.0,128.69,12.9,4.4,,0.87,7.24,40.0,0.39,0.75,0.15,0.0,0.03,3.6,14.0,6853.0,126.0,35.6,1896.0,16.1,1.61,40.5,23.6,0.82,44.4,70.4,,-1.03,75.4,45.7,175.0,99.9,28.2,4.7,35.3,174.11,735.3,2910.0,2990.0,5.6
Lebanon,7784.0,,1.5,2.5,,0.74,4.16,,0.87,39.5,57.7,0.0,,7.2,,5212.0,63.0,31.8,1086.0,2.8,2.08,44.1,32.0,0.69,33.7,51.1,,0.57,76.4,63.1,205.0,60.2,28.8,2.5,,114.52,258.91,3686.0,3090.0,16.4
Lesotho,1158.0,,5.0,43.6,,0.53,6.3,,,0.9,0.1,0.0,,86.4,,978.0,53.0,44.9,309.0,87.5,3.11,23.5,16.6,0.32,24.7,53.1,,1.31,50.7,15.4,92.0,51.4,20.9,6.5,,25.35,9.01,,2460.0,11.85
